movieId,title,runtime,releaseDate,rating
239402,Final Destination Bloodlines (2025),110,2025-05-16T00:00:00,R
240028,Hurry Up Tomorrow (2025),105,2025-05-16T00:00:00,R
239490,The Ruse (2025),100,2025-05-16T00:00:00,R
240014,Clown in a Cornfield (2025), 96,2025-05-09T00:00:00,R
239338,Fight or Flight (2025),101,2025-05-09T00:00:00,R
239964,Shadow Force (2025),104,2025-05-09T00:00:00,R
237177,Thunderbolts* (2025),126,2025-05-02T00:00:00,PG13
239552,The Accountant 2 (2025),124,2025-04-25T00:00:00,R
237956,Sinners (2025),137,2025-04-18T00:00:00,R
239291,Warfare (2025), 95,2025-04-11T00:00:00,R
216995,A Minecraft Movie (2025),101,2025-04-04T00:00:00,PG
239071,The Penguin Lessons (2025),110,2025-03-28T00:00:00,PG13
239214,Until Dawn (2025),103,2025-04-25T00:00:00,R
235561,The Amateur (2025),123,2025-04-11T00:00:00,PG13
239393,The King of Kings (2025),105,2025-04-11T00:00:00,PG
224268,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train (2021),117,2021-04-23T00:00:00,R
239886,Show Me Your Glory (2025),112,2025-05-13T00:00:00,Not Rated
239980,Things Like This (2025), 98,2025-05-16T00:00:00,Not Rated
240606,23 - Iravai Moodu (2025),130,2025-05-15T00:00:00,Not Rated
237345,Disney's Snow White (2025),109,2025-03-21T00:00:00,PG
240445,ATEEZ WORLD TOUR [TOWARDS THE LIGHT : WILL TO POWER] IN CINEMAS (2025),126,2025-05-14T00:00:00,Not Rated
240507,#Single (2025),  0,2025-05-09T00:00:00,Not Rated
240034,Watch the Skies (2025),115,2025-05-09T00:00:00,PG-13
240438,A Desert (2025),103,2025-05-02T00:00:00,Not Rated
240374,Magic Farm (2025), 93,2025-04-25T00:00:00,Not Rated
240501,A Gilded Game (2025),129,2025-05-09T00:00:00,Not Rated
239943,Rosario (2025), 88,2025-05-02T00:00:00,R
239504,Friendship (2025), 97,2025-05-09T00:00:00,R
240016,Shaunki Sardar (2025),130,2025-05-16T00:00:00,Not Rated
240260,Guru Nanak Jahaz (2025),  0,2025-05-01T00:00:00,Not Rated
240069,The Old Woman with the Knife (Pa-gwa) (2025),120,2025-05-16T00:00:00,Not Rated
240345,The Ancestral Home (Nha Gia Tien) (2025),117,2025-05-09T00:00:00,Not Rated
240652,DD Next Level (2025),  0,2025-05-16T00:00:00,Not Rated
240649,Maaman (2025),  0,2025-05-16T00:00:00,Not Rated
236623,Juliet & Romeo (2025),121,2025-05-09T00:00:00,PG13
240399,Daydreamers (2025),113,2025-05-02T00:00:00,Not Rated
240487,July 7: Who Killed the President of Haiti? (2025),113,2025-03-01T00:00:00,R
240089,Raid 2 (2025),145,2025-05-01T00:00:00,Not Rated
240024,HIT: The Third Case (2025),150,2025-05-01T00:00:00,Not Rated
239182,The Woman in the Yard (2025), 85,2025-03-28T00:00:00,PG13
240368,Money Kisses (2025),100,2025-05-09T00:00:00,Not Rated
239303,Drop (2025), 95,2025-04-11T00:00:00,PG13
     3,American Psycho (2000),103,2000-04-14T00:00:00,R
 32804,House of 1000 Corpses, 88,NA,R
240473,A Minecraft Movie: Block Party Edition (2025),101,2025-05-02T00:00:00,PG
240458,Subham (2025),125,2025-05-09T00:00:00,Not Rated
239664,The Surfer (2025),103,2025-05-02T00:00:00,R
240100,Stelios (2024),142,2024-12-19T00:00:00,Not Rated
240517,Prince and Family (2025),134,2025-05-09T00:00:00,Not Rated
240159,Words of War (2025),117,2025-05-02T00:00:00,R
240446,Tourist Family (2025),150,2025-05-01T00:00:00,Not Rated
239252,Thudarum (2025),163,2025-04-25T00:00:00,Not Rated
239700,Pride & Prejudice 20th Anniversary Re-release (2025),128,2025-04-20T00:00:00,PG
239314,The Chosen: Last Supper Part 3,194,2025-04-11T00:00:00,Not Rated
239916,The Wedding Banquet (2025),102,2025-04-18T00:00:00,R
233705,Abby's List: A Dogumentary (2023),  0,2023-05-01T00:00:00,Not Rated
239019,La Grande (2025), 95,2025-05-09T00:00:00,PG
240194,DOGMA: The Resurrection Tour, A 25th Anniversary Celebration with Kevin Smith,130,2025-04-20T00:00:00
Not Rated,,,,
  2181,Alamo: The Price of Freedom, 37,NA,Not Rated
240521,The Kiss (2025),116,2025-05-16T00:00:00,Not Rated
239523,On Swift Horses (2025),117,2025-04-25T00:00:00,R
237845,Secret Mall Apartment (2024), 91,2024-03-08T00:00:00,Not Rated
238128,We Were Dangerous (2024), 83,2024-03-08T00:00:00,Not Rated
239614,A Nice Indian Boy (2025), 96,2025-04-04T00:00:00,Not Rated
237414,Flow (2024), 85,2024-11-22T00:00:00,PG
   443,The City of Lost Children,111,1995-12-15T00:00:00,R
 60281,A Man and a Woman,105,NA,Not Rated
239940,Bonjour Tristesse (2025),110,2025-05-02T00:00:00,R
238626,The Friend (2025),120,2025-03-28T00:00:00,R
 90729,The Exorcist (1973),121,1973-12-26T00:00:00,R
237948,The True Story of Tamara de Lempicka and the Art of Survival (2024),  0,NA,Not Rated
238334,The Legend of Ochi (2025), 96,2025-04-25T00:00:00,PG
239317,Lilly (2025), 93,2025-05-09T00:00:00,PG13
240472,Caught by the Tides (2025),111,2025-05-02T00:00:00,Not Rated
235432,Swamp Dogg Gets His Pool Painted (2025), 95,2025-05-02T00:00:00,Not Rated
239844,When Fall Is Coming (2025),102,2025-04-04T00:00:00,Not Rated
240525,Drop Dead City (2024),108,2024-11-21T00:00:00,Not Rated
239601,ADA - My Mother the Architect (2024), 81,NA,Not Rated
238628,Bad Shabbos (2024), 84,2024-06-10T00:00:00,Not Rated
239936,Sod and Stubble (2025),102,2025-04-18T00:00:00,Not Rated
NA,NA,NA,NA,NA
239957,The Encampments (2025), 81,2025-03-28T00:00:00,Not Rated
237332,No Other Land (2025), 95,2025-02-07T00:00:00,Not Rated
239983,Cinema for the Very Young,  0,NA,Not Rated
240035,Tall Tales (2025), 64,2025-05-08T00:00:00,Not Rated
236948,Hung Up on a Dream: The Zombies Documentary (2023),116,2023-03-12T00:00:00,Not Rated
240240,Spirited Away - Studio Ghibli Fest 2025,130,2025-10-18T00:00:00,PG
 78720,Ishtar,107,NA,PG13
239660,Pink Floyd at Pompeii - MCMLXXII (2025), 85,2025-04-24T00:00:00,Not Rated
